grain,grain_key,category,forecast_month,predicted_units,lower_bound,upper_bound,mae,mape_pct,model_used,confidence
sku,0654d3c1e3efc7e7cd9dbde9cb743df2,garden_tools,2018-08-01,4.3,0.5,8.2,3.27,69.2,HW-trend,low
sku,0654d3c1e3efc7e7cd9dbde9cb743df2,garden_tools,2018-09-01,4.5,0.7,8.3,3.27,69.2,HW-trend,low
sku,06bf70b6e1d67d96308235ef350edc61,toys,2018-09-01,1.3,0.0,4.0,3.14,281.0,HW-trend,low
sku,06bf70b6e1d67d96308235ef350edc61,toys,2018-10-01,1.2,0.0,3.9,3.14,281.0,HW-trend,low
sku,06bf70b6e1d67d96308235ef350edc61,toys,2018-11-01,1.1,0.0,3.8,3.14,281.0,HW-trend,low
sku,06c6e01186af8b98ee1fc9e01f9471e9,computers_accessories,2017-10-01,12.3,3.6,20.9,18.17,253.8,HW-trend,low
sku,06c6e01186af8b98ee1fc9e01f9471e9,computers_accessories,2017-11-01,12.9,4.2,21.5,18.17,253.8,HW-trend,low
sku,06c6e01186af8b98ee1fc9e01f9471e9,computers_accessories,2017-12-01,13.5,4.8,22.1,18.17,253.8,HW-trend,low
sku,06edb72f1e0c64b14c5b79353f7abea3,bed_bath_table,2018-09-01,9.2,0.0,19.8,14.92,225.0,HW-trend,low
sku,06edb72f1e0c64b14c5b79353f7abea3,bed_bath_table,2018-10-01,9.7,0.0,20.3,14.92,225.0,HW-trend,low
sku,06edb72f1e0c64b14c5b79353f7abea3,bed_bath_table,2018-11-01,10.1,0.0,20.7,14.92,225.0,HW-trend,low
sku,06f0e85c7892d5df893f332706340af1,stationery,2018-02-01,3.3,0.0,7.9,3.24,68.5,HW-trend,low
sku,06f0e85c7892d5df893f332706340af1,stationery,2018-03-01,3.5,0.0,8.0,3.24,68.5,HW-trend,low
sku,06f0e85c7892d5df893f332706340af1,stationery,2018-04-01,3.6,0.0,8.1,3.24,68.5,HW-trend,low
sku,0705b33fb285827a578fce4899f1b921,sports_leisure,2018-07-01,1.9,0.0,4.8,3.12,93.1,HW-trend,low
sku,0705b33fb285827a578fce4899f1b921,sports_leisure,2018-08-01,1.9,0.0,4.8,3.12,93.1,HW-trend,low
sku,0705b33fb285827a578fce4899f1b921,sports_leisure,2018-09-01,1.9,0.0,4.9,3.12,93.1,HW-trend,low
sku,07c055536ebf10dfbb6c6db6dbfc36e5,furniture_decor,2017-12-01,6.1,2.7,9.4,3.29,57.7,HW-trend,low
sku,07c055536ebf10dfbb6c6db6dbfc36e5,furniture_decor,2018-01-01,6.6,3.2,10.0,3.29,57.7,HW-trend,low
sku,07c055536ebf10dfbb6c6db6dbfc36e5,furniture_decor,2018-02-01,7.2,3.8,10.5,3.29,57.7,HW-trend,low
sku,083ffd30820b592e294de7ed668ff975,computers_accessories,2017-12-01,5.4,3.5,7.3,1.8,68.3,HW-trend,low
sku,083ffd30820b592e294de7ed668ff975,computers_accessories,2018-01-01,5.9,4.0,7.8,1.8,68.3,HW-trend,low
sku,083ffd30820b592e294de7ed668ff975,computers_accessories,2018-02-01,6.4,4.5,8.3,1.8,68.3,HW-trend,low
sku,08574b074924071f4e201e151b152b4e,garden_tools,2018-05-01,4.2,0.0,14.6,10.1,856.7,HW-trend,low
sku,08574b074924071f4e201e151b152b4e,garden_tools,2018-06-01,3.6,0.0,14.0,10.1,856.7,HW-trend,low
sku,08574b074924071f4e201e151b152b4e,garden_tools,2018-07-01,3.1,0.0,13.5,10.1,856.7,HW-trend,low
sku,086351823300e0339f6955b27998c186,bed_bath_table,2018-07-01,2.1,0.0,6.2,12.55,448.1,HW-trend,low
sku,086351823300e0339f6955b27998c186,bed_bath_table,2018-08-01,2.1,0.0,6.2,12.55,448.1,HW-trend,low
sku,086351823300e0339f6955b27998c186,bed_bath_table,2018-09-01,2.2,0.0,6.3,12.55,448.1,HW-trend,low
sku,08a58dc963320d6073623382b9ceb920,computers_accessories,2018-09-01,7.4,2.3,12.5,1.63,49.6,HW-trend,medium
sku,08a58dc963320d6073623382b9ceb920,computers_accessories,2018-10-01,9.5,4.4,14.6,1.63,49.6,HW-trend,medium
sku,08a58dc963320d6073623382b9ceb920,computers_accessories,2018-11-01,11.6,6.5,16.7,1.63,49.6,HW-trend,medium
sku,0a4093a4af429dc0a9334300e5c13ae5,health_beauty,2018-09-01,3.9,0.0,8.7,3.06,115.6,HW-trend,low
sku,0a4093a4af429dc0a9334300e5c13ae5,health_beauty,2018-10-01,4.1,0.0,8.9,3.06,115.6,HW-trend,low
sku,0a4093a4af429dc0a9334300e5c13ae5,health_beauty,2018-11-01,4.3,0.0,9.1,3.06,115.6,HW-trend,low
sku,0a57f7d2c983bcf8188589a5fea4a8da,watches_gifts,2018-07-01,12.2,0.0,24.5,5.1,61.0,HW-trend,low
sku,0a57f7d2c983bcf8188589a5fea4a8da,watches_gifts,2018-08-01,12.7,0.4,25.1,5.1,61.0,HW-trend,low
sku,0a57f7d2c983bcf8188589a5fea4a8da,watches_gifts,2018-09-01,13.3,1.0,25.7,5.1,61.0,HW-trend,low
sku,0a5a41c678bcf81e041826bb24eb0b01,baby,2018-09-01,4.1,0.8,7.4,2.8,63.6,HW-trend,low
sku,0a5a41c678bcf81e041826bb24eb0b01,baby,2018-10-01,4.5,1.2,7.8,2.8,63.6,HW-trend,low
sku,0a5a41c678bcf81e041826bb24eb0b01,baby,2018-11-01,4.8,1.5,8.1,2.8,63.6,HW-trend,low
sku,0aabfb375647d9738ad0f7b4ea3653b1,consoles_games,2018-08-01,0.0,0.0,13.8,0.55,37.6,HW-trend,medium
sku,0aabfb375647d9738ad0f7b4ea3653b1,consoles_games,2018-09-01,0.0,0.0,13.8,0.55,37.6,HW-trend,medium
sku,0aabfb375647d9738ad0f7b4ea3653b1,consoles_games,2018-10-01,0.0,0.0,13.8,0.55,37.6,HW-trend,medium
sku,0bb7cb61f1957f79dac582ab66ccdc1f,housewares,2017-10-01,3.7,0.0,9.0,11.0,688.4,HW-trend,low
sku,0bb7cb61f1957f79dac582ab66ccdc1f,housewares,2017-11-01,3.4,0.0,8.7,11.0,688.4,HW-trend,low
sku,0bb7cb61f1957f79dac582ab66ccdc1f,housewares,2017-12-01,3.1,0.0,8.4,11.0,688.4,HW-trend,low
sku,0bbdc963004d9b2fd3427ee3c5ae3608,sports_leisure,2018-09-01,4.2,0.0,9.5,8.83,566.0,HW-trend,low
sku,0bbdc963004d9b2fd3427ee3c5ae3608,sports_leisure,2018-10-01,4.0,0.0,9.2,8.83,566.0,HW-trend,low
sku,0bbdc963004d9b2fd3427ee3c5ae3608,sports_leisure,2018-11-01,3.7,0.0,9.0,8.83,566.0,HW-trend,low
sku,0bcc3eeca39e1064258aa1e932269894,garden_tools,2018-09-01,7.2,0.0,15.4,3.87,66.5,HW-trend,low
sku,0bcc3eeca39e1064258aa1e932269894,garden_tools,2018-10-01,7.6,0.0,15.7,3.87,66.5,HW-trend,low
sku,0bcc3eeca39e1064258aa1e932269894,garden_tools,2018-11-01,8.0,0.0,16.1,3.87,66.5,HW-trend,low
sku,0c71252f37443403376d2008034a7240,pet_shop,2018-09-01,5.2,2.8,7.6,2.75,53.5,HW-trend,low
sku,0c71252f37443403376d2008034a7240,pet_shop,2018-10-01,5.8,3.4,8.1,2.75,53.5,HW-trend,low
sku,0c71252f37443403376d2008034a7240,pet_shop,2018-11-01,6.3,3.9,8.7,2.75,53.5,HW-trend,low
sku,0cf41187284d7f099adc8415a743ebbd,baby,2018-09-01,5.3,1.6,8.9,5.29,338.6,HW-trend,low
sku,0cf41187284d7f099adc8415a743ebbd,baby,2018-10-01,5.6,2.0,9.3,5.29,338.6,HW-trend,low
sku,0cf41187284d7f099adc8415a743ebbd,baby,2018-11-01,6.0,2.4,9.6,5.29,338.6,HW-trend,low
sku,0d85c435fd60b277ffb9e9b0f88f927a,computers_accessories,2018-09-01,3.3,0.0,30.3,4.0,100.0,HW-trend,low
sku,0d85c435fd60b277ffb9e9b0f88f927a,computers_accessories,2018-10-01,3.6,0.0,30.6,4.0,100.0,HW-trend,low
sku,0d85c435fd60b277ffb9e9b0f88f927a,computers_accessories,2018-11-01,3.9,0.0,30.9,4.0,100.0,HW-trend,low
sku,0e2d365a247d105fefc31b17ab8706d9,perfumery,2018-09-01,6.0,1.3,10.7,3.47,134.6,HW-trend,low
sku,0e2d365a247d105fefc31b17ab8706d9,perfumery,2018-10-01,6.5,1.7,11.2,3.47,134.6,HW-trend,low
sku,0e2d365a247d105fefc31b17ab8706d9,perfumery,2018-11-01,6.9,2.2,11.7,3.47,134.6,HW-trend,low
sku,0eb8e03d4ef83152c4642b606b5bbdec,furniture_decor,2018-09-01,3.6,0.0,9.0,21.67,1233.3,HW-trend,low
sku,0eb8e03d4ef83152c4642b606b5bbdec,furniture_decor,2018-10-01,3.6,0.0,9.0,21.67,1233.3,HW-trend,low
sku,0eb8e03d4ef83152c4642b606b5bbdec,furniture_decor,2018-11-01,3.6,0.0,9.1,21.67,1233.3,HW-trend,low
sku,0efc91aa52d1f0669126d3000a94279b,bed_bath_table,2018-04-01,0.0,0.0,3.5,0.33,100.0,HW-trend,low
sku,0efc91aa52d1f0669126d3000a94279b,bed_bath_table,2018-05-01,0.0,0.0,3.5,0.33,100.0,HW-trend,low
sku,0efc91aa52d1f0669126d3000a94279b,bed_bath_table,2018-06-01,0.0,0.0,3.5,0.33,100.0,HW-trend,low
sku,0fa81e7123fd0ebe03adbbe99d912827,bed_bath_table,2018-08-01,1.5,0.0,5.0,0.95,44.8,HW-trend,medium
sku,0fa81e7123fd0ebe03adbbe99d912827,bed_bath_table,2018-09-01,1.5,0.0,5.1,0.95,44.8,HW-trend,medium
sku,0fa81e7123fd0ebe03adbbe99d912827,bed_bath_table,2018-10-01,1.5,0.0,5.1,0.95,44.8,HW-trend,medium
sku,10070e29929f7c7d609ee3201f236b8e,home_construction,2018-08-01,4.3,1.2,7.4,3.17,77.8,HW-trend,low
sku,10070e29929f7c7d609ee3201f236b8e,home_construction,2018-09-01,4.6,1.6,7.7,3.17,77.8,HW-trend,low
sku,10070e29929f7c7d609ee3201f236b8e,home_construction,2018-10-01,5.0,1.9,8.1,3.17,77.8,HW-trend,low
sku,10717ff440b2320081989126e858b220,bed_bath_table,2018-06-01,7.4,0.0,15.1,9.0,309.0,HW-trend,low
sku,10717ff440b2320081989126e858b220,bed_bath_table,2018-07-01,8.0,0.2,15.8,9.0,309.0,HW-trend,low
sku,10717ff440b2320081989126e858b220,bed_bath_table,2018-08-01,8.6,0.8,16.4,9.0,309.0,HW-trend,low
sku,10adb53d8faa890ca7c2f0cbcb68d777,bed_bath_table,2018-08-01,2.5,0.0,6.1,3.19,181.6,HW-trend,low
sku,10adb53d8faa890ca7c2f0cbcb68d777,bed_bath_table,2018-09-01,2.5,0.0,6.2,3.19,181.6,HW-trend,low
sku,10adb53d8faa890ca7c2f0cbcb68d777,bed_bath_table,2018-10-01,2.6,0.0,6.2,3.19,181.6,HW-trend,low
sku,11250b0d4b709fee92441c5f34122aed,agro_industry_and_commerce,2018-08-01,2.2,0.0,6.6,4.19,302.1,HW-trend,low
sku,11250b0d4b709fee92441c5f34122aed,agro_industry_and_commerce,2018-09-01,2.3,0.0,6.6,4.19,302.1,HW-trend,low
sku,11250b0d4b709fee92441c5f34122aed,agro_industry_and_commerce,2018-10-01,2.3,0.0,6.6,4.19,302.1,HW-trend,low
sku,115e606ac8059e4cfa1c6c3310fb365c,computers_accessories,2018-09-01,1.0,0.0,4.0,5.11,375.0,HW-trend,low
sku,115e606ac8059e4cfa1c6c3310fb365c,computers_accessories,2018-10-01,1.0,0.0,4.0,5.11,375.0,HW-trend,low
sku,115e606ac8059e4cfa1c6c3310fb365c,computers_accessories,2018-11-01,1.0,0.0,4.0,5.11,375.0,HW-trend,low
sku,11875b30b49585209e608f40e8082e65,sports_leisure,2017-10-01,10.6,4.4,16.8,4.73,112.6,HW-trend,low
sku,11875b30b49585209e608f40e8082e65,sports_leisure,2017-11-01,11.2,5.0,17.5,4.73,112.6,HW-trend,low
sku,11875b30b49585209e608f40e8082e65,sports_leisure,2017-12-01,11.9,5.7,18.1,4.73,112.6,HW-trend,low
sku,11dcc970f7a5581e1bf777b6da3f7096,housewares,2018-09-01,6.8,2.8,10.8,4.0,100.0,HW-trend,low
sku,11dcc970f7a5581e1bf777b6da3f7096,housewares,2018-10-01,8.7,4.7,12.7,4.0,100.0,HW-trend,low
sku,11dcc970f7a5581e1bf777b6da3f7096,housewares,2018-11-01,10.5,6.5,14.5,4.0,100.0,HW-trend,low
sku,11fd9d7ba552e1d28872e008acf1e050,cool_stuff,2018-09-01,1.5,0.0,6.1,2.12,136.3,HW-trend,low
sku,11fd9d7ba552e1d28872e008acf1e050,cool_stuff,2018-10-01,1.5,0.0,6.1,2.12,136.3,HW-trend,low
sku,11fd9d7ba552e1d28872e008acf1e050,cool_stuff,2018-11-01,1.6,0.0,6.1,2.12,136.3,HW-trend,low
sku,130482add9fd75ccb6c57ba007694a2d,computers_accessories,2018-09-01,0.7,0.0,5.6,0.45,36.2,HW-trend,medium
sku,130482add9fd75ccb6c57ba007694a2d,computers_accessories,2018-10-01,0.7,0.0,5.6,0.45,36.2,HW-trend,medium
sku,130482add9fd75ccb6c57ba007694a2d,computers_accessories,2018-11-01,0.7,0.0,5.5,0.45,36.2,HW-trend,medium
sku,1491a8ff192d4b5c369b0eaa2fe33ee5,bed_bath_table,2018-03-01,0.9,0.0,5.0,2.8,75.0,HW-trend,low
sku,1491a8ff192d4b5c369b0eaa2fe33ee5,bed_bath_table,2018-04-01,0.6,0.0,4.7,2.8,75.0,HW-trend,low
sku,1491a8ff192d4b5c369b0eaa2fe33ee5,bed_bath_table,2018-05-01,0.3,0.0,4.4,2.8,75.0,HW-trend,low
sku,14dffa241a078aeaebaef48a49e807ca,baby,2018-04-01,1.7,0.0,4.2,2.64,240.9,HW-trend,low
sku,14dffa241a078aeaebaef48a49e807ca,baby,2018-05-01,1.7,0.0,4.3,2.64,240.9,HW-trend,low
sku,14dffa241a078aeaebaef48a49e807ca,baby,2018-06-01,1.7,0.0,4.3,2.64,240.9,HW-trend,low
sku,154e7e31ebfa092203795c972e5804a6,health_beauty,2018-09-01,1.5,0.0,10.7,3.8,150.0,HW-trend,low
sku,154e7e31ebfa092203795c972e5804a6,health_beauty,2018-10-01,1.0,0.0,10.2,3.8,150.0,HW-trend,low
sku,154e7e31ebfa092203795c972e5804a6,health_beauty,2018-11-01,0.5,0.0,9.7,3.8,150.0,HW-trend,low
sku,15859e3a8aaa3c192c10a91d8722abd5,health_beauty,2018-05-01,5.2,1.5,9.0,2.44,102.7,HW-trend,low
sku,15859e3a8aaa3c192c10a91d8722abd5,health_beauty,2018-06-01,5.8,2.0,9.6,2.44,102.7,HW-trend,low
sku,15859e3a8aaa3c192c10a91d8722abd5,health_beauty,2018-07-01,6.4,2.6,10.2,2.44,102.7,HW-trend,low
sku,1600dcf1cea8c0c83702e07b577ab231,watches_gifts,2018-09-01,5.6,1.7,9.4,4.89,81.2,HW-trend,low
sku,1600dcf1cea8c0c83702e07b577ab231,watches_gifts,2018-10-01,5.8,1.9,9.7,4.89,81.2,HW-trend,low
sku,1600dcf1cea8c0c83702e07b577ab231,watches_gifts,2018-11-01,6.1,2.2,10.0,4.89,81.2,HW-trend,low
sku,1612209b0b37fbe80e1e8e1b7d19ca1d,computers_accessories,2018-01-01,0.0,0.0,2.8,0.57,57.1,HW-trend,low
sku,1612209b0b37fbe80e1e8e1b7d19ca1d,computers_accessories,2018-02-01,0.0,0.0,2.8,0.57,57.1,HW-trend,low
sku,1612209b0b37fbe80e1e8e1b7d19ca1d,computers_accessories,2018-03-01,0.0,0.0,2.8,0.57,57.1,HW-trend,low
sku,1613b819ab5dae53aead2dbb4ebdb378,auto,2018-09-01,14.9,8.5,21.2,6.6,66.4,HW-trend,low
sku,1613b819ab5dae53aead2dbb4ebdb378,auto,2018-10-01,16.1,9.8,22.5,6.6,66.4,HW-trend,low
sku,1613b819ab5dae53aead2dbb4ebdb378,auto,2018-11-01,17.4,11.1,23.8,6.6,66.4,HW-trend,low
sku,165f86fe8b799a708a20ee4ba125c289,cool_stuff,2018-05-01,6.6,0.0,22.8,8.67,119.6,HW-trend,low
sku,165f86fe8b799a708a20ee4ba125c289,cool_stuff,2018-06-01,7.1,0.0,23.3,8.67,119.6,HW-trend,low
sku,165f86fe8b799a708a20ee4ba125c289,cool_stuff,2018-07-01,7.7,0.0,23.9,8.67,119.6,HW-trend,low
sku,167b4b8c4bd0c401bea62f5e050d70a4,computers_accessories,2018-04-01,4.6,0.0,9.5,1.61,115.7,HW-trend,low
sku,167b4b8c4bd0c401bea62f5e050d70a4,computers_accessories,2018-05-01,4.9,0.0,9.8,1.61,115.7,HW-trend,low
sku,167b4b8c4bd0c401bea62f5e050d70a4,computers_accessories,2018-06-01,5.3,0.4,10.2,1.61,115.7,HW-trend,low
sku,16ed6a6e3fce23b741650437fe58d65b,housewares,2018-09-01,3.6,0.0,7.6,1.46,69.9,HW-trend,low
sku,16ed6a6e3fce23b741650437fe58d65b,housewares,2018-10-01,3.8,0.0,7.7,1.46,69.9,HW-trend,low
sku,16ed6a6e3fce23b741650437fe58d65b,housewares,2018-11-01,4.0,0.0,7.9,1.46,69.9,HW-trend,low
sku,177d3d5bb9d4d29222a222e3b3554f41,stationery,2018-09-01,7.3,1.7,12.9,2.91,131.8,HW-trend,low
sku,177d3d5bb9d4d29222a222e3b3554f41,stationery,2018-10-01,7.8,2.3,13.4,2.91,131.8,HW-trend,low
sku,177d3d5bb9d4d29222a222e3b3554f41,stationery,2018-11-01,8.4,2.8,14.0,2.91,131.8,HW-trend,low
sku,186fe07c8b8005ec6a498587ffbc1352,watches_gifts,2018-08-01,2.7,0.0,6.5,1.81,129.4,HW-trend,low
sku,186fe07c8b8005ec6a498587ffbc1352,watches_gifts,2018-09-01,2.8,0.0,6.6,1.81,129.4,HW-trend,low
sku,186fe07c8b8005ec6a498587ffbc1352,watches_gifts,2018-10-01,2.9,0.0,6.6,1.81,129.4,HW-trend,low
sku,18b0e642cbae7251e60a64aa07dd9eb9,computers_accessories,2018-09-01,18.2,12.5,23.9,7.85,51.7,HW-trend,low
sku,18b0e642cbae7251e60a64aa07dd9eb9,computers_accessories,2018-10-01,19.4,13.8,25.1,7.85,51.7,HW-trend,low
sku,18b0e642cbae7251e60a64aa07dd9eb9,computers_accessories,2018-11-01,20.7,15.0,26.4,7.85,51.7,HW-trend,low
sku,19421075ae0b585f2dc13ff149e2119d,sports_leisure,2018-08-01,3.9,0.0,14.6,14.42,721.0,HW-trend,low
sku,19421075ae0b585f2dc13ff149e2119d,sports_leisure,2018-09-01,3.4,0.0,14.0,14.42,721.0,HW-trend,low
sku,19421075ae0b585f2dc13ff149e2119d,sports_leisure,2018-10-01,2.8,0.0,13.5,14.42,721.0,HW-trend,low
sku,19c91ef95d509ea33eda93495c4d3481,health_beauty,2018-09-01,45.4,33.2,57.6,7.8,19.8,HW-trend,high
sku,19c91ef95d509ea33eda93495c4d3481,health_beauty,2018-10-01,51.2,39.0,63.4,7.8,19.8,HW-trend,high
sku,19c91ef95d509ea33eda93495c4d3481,health_beauty,2018-11-01,57.0,44.8,69.1,7.8,19.8,HW-trend,high
sku,1a080577618e7fe4d9ddd8fb2b47a964,watches_gifts,2018-08-01,4.6,1.4,7.8,2.46,177.1,HW-trend,low
sku,1a080577618e7fe4d9ddd8fb2b47a964,watches_gifts,2018-09-01,4.9,1.7,8.1,2.46,177.1,HW-trend,low
sku,1a080577618e7fe4d9ddd8fb2b47a964,watches_gifts,2018-10-01,5.2,2.0,8.4,2.46,177.1,HW-trend,low
sku,1a0971a6f39f04118207a7308d451e9d,stationery,2018-06-01,2.6,0.4,4.8,3.0,100.0,HW-trend,low
sku,1a0971a6f39f04118207a7308d451e9d,stationery,2018-07-01,2.6,0.4,4.8,3.0,100.0,HW-trend,low
sku,1a0971a6f39f04118207a7308d451e9d,stationery,2018-08-01,2.7,0.5,4.8,3.0,100.0,HW-trend,low
sku,1a300f482e35d7eac74b229be067aefd,computers_accessories,2018-06-01,0.9,0.0,3.6,0.79,46.2,HW-trend,medium
sku,1a300f482e35d7eac74b229be067aefd,computers_accessories,2018-07-01,0.9,0.0,3.5,0.79,46.2,HW-trend,medium
sku,1a300f482e35d7eac74b229be067aefd,computers_accessories,2018-08-01,0.9,0.0,3.5,0.79,46.2,HW-trend,medium
sku,1a405418406359cc2b8815f93bf359c2,sports_leisure,2018-07-01,3.3,0.0,7.4,9.37,432.2,HW-trend,low
sku,1a405418406359cc2b8815f93bf359c2,sports_leisure,2018-08-01,3.3,0.0,7.4,9.37,432.2,HW-trend,low
sku,1a405418406359cc2b8815f93bf359c2,sports_leisure,2018-09-01,3.3,0.0,7.4,9.37,432.2,HW-trend,low
sku,1a758361b1c10b3ffe3d3373332de319,sports_leisure,2018-09-01,4.8,2.6,7.0,1.56,58.7,HW-trend,low
sku,1a758361b1c10b3ffe3d3373332de319,sports_leisure,2018-10-01,5.2,3.0,7.3,1.56,58.7,HW-trend,low
sku,1a758361b1c10b3ffe3d3373332de319,sports_leisure,2018-11-01,5.6,3.4,7.7,1.56,58.7,HW-trend,low
sku,1acb18fc869c5489d5f76abcd681165e,sports_leisure,2018-06-01,4.3,1.5,7.2,3.5,130.6,HW-trend,low
sku,1acb18fc869c5489d5f76abcd681165e,sports_leisure,2018-07-01,4.7,1.9,7.6,3.5,130.6,HW-trend,low
sku,1acb18fc869c5489d5f76abcd681165e,sports_leisure,2018-08-01,5.1,2.3,8.0,3.5,130.6,HW-trend,low
sku,1b8ee158f59c098470fad33f39660964,furniture_living_room,2018-07-01,1.5,0.0,4.0,2.48,197.3,HW-trend,low
sku,1b8ee158f59c098470fad33f39660964,furniture_living_room,2018-08-01,1.5,0.0,4.1,2.48,197.3,HW-trend,low
sku,1b8ee158f59c098470fad33f39660964,furniture_living_room,2018-09-01,1.5,0.0,4.1,2.48,197.3,HW-trend,low
sku,1bfb290d7273a442c874dbe74b4abae6,office_furniture,2018-09-01,5.1,0.5,9.7,3.82,70.1,HW-trend,low
sku,1bfb290d7273a442c874dbe74b4abae6,office_furniture,2018-10-01,5.6,1.1,10.2,3.82,70.1,HW-trend,low
sku,1bfb290d7273a442c874dbe74b4abae6,office_furniture,2018-11-01,6.2,1.6,10.8,3.82,70.1,HW-trend,low
sku,1cf0c9095608952cb1c65c4789946375,electronics,2018-04-01,2.8,0.0,6.2,1.3,56.3,HW-trend,low
sku,1cf0c9095608952cb1c65c4789946375,electronics,2018-05-01,3.0,0.0,6.4,1.3,56.3,HW-trend,low
sku,1cf0c9095608952cb1c65c4789946375,electronics,2018-06-01,3.2,0.0,6.5,1.3,56.3,HW-trend,low
sku,1d3ecbda18167c766a3381fd16108e4a,sports_leisure,2018-07-01,7.4,3.7,11.2,3.0,100.0,HW-trend,low
sku,1d3ecbda18167c766a3381fd16108e4a,sports_leisure,2018-08-01,7.9,4.1,11.6,3.0,100.0,HW-trend,low
sku,1d3ecbda18167c766a3381fd16108e4a,sports_leisure,2018-09-01,8.3,4.5,12.1,3.0,100.0,HW-trend,low
sku,1e618d311a1b7f88a9d96ec50aa85582,housewares,2018-06-01,1.8,0.0,6.1,2.95,295.2,HW-trend,low
sku,1e618d311a1b7f88a9d96ec50aa85582,housewares,2018-07-01,1.8,0.0,6.1,2.95,295.2,HW-trend,low
sku,1e618d311a1b7f88a9d96ec50aa85582,housewares,2018-08-01,1.8,0.0,6.1,2.95,295.2,HW-trend,low
